gvkey ,tic ,conm,Breakdown,oiadp,revt
1,RU,Royal Unibrew,43465,1682000,8746000
1,RU,Royal Unibrew,43830,1542000,7557000
1,RU,Royal Unibrew,44196,1493561,7692479
1,RU,Royal Unibrew,44561,1358002,7298086
